DATE,IHLCHGNEWUS
2021-05-12,58.0
2021-05-13,59.0
2021-05-14,60.2
2021-05-15,59.5
2021-05-16,58.9
2021-05-17,59.0
2021-05-18,59.2
2021-05-19,58.3
2021-05-20,57.4
2021-05-21,56.7
2021-05-22,56.2
2021-05-23,56.5
2021-05-24,56.2
2021-05-25,56.0
2021-05-26,56.8
2021-05-27,58.2
2021-05-28,59.8
2021-05-29,62.0
2021-05-30,64.4
2021-05-31,66.8
2021-06-01,66.3
2021-06-02,65.5
2021-06-03,63.5
2021-06-04,60.7
2021-06-05,57.8
2021-06-06,54.1
2021-06-07,50.8
2021-06-08,52.8
2021-06-09,53.9
2021-06-10,55.0
2021-06-11,56.8
2021-06-12,58.3
2021-06-13,60.6
2021-06-14,62.4
2021-06-15,61.1
2021-06-16,60.4
2021-06-17,60.8
2021-06-18,60.8
2021-06-19,61.0
2021-06-20,60.8
2021-06-21,60.5
2021-06-22,61.4
2021-06-23,62.6
2021-06-24,62.6
2021-06-25,62.9
2021-06-26,63.2
2021-06-27,63.4
2021-06-28,63.4
2021-06-29,63.0
2021-06-30,62.4
2021-07-01,61.8
2021-07-02,62.5
2021-07-03,63.8
2021-07-04,65.6
2021-07-05,67.7
2021-07-06,67.9
2021-07-07,69.4
2021-07-08,71.8
2021-07-09,72.0
2021-07-10,70.8
2021-07-11,68.9
2021-07-12,66.6
2021-07-13,68.9
2021-07-14,69.4
2021-07-15,67.7
2021-07-16,66.6
2021-07-17,66.6
2021-07-18,67.3
2021-07-19,67.6
2021-07-20,64.8
2021-07-21,61.9
2021-07-22,59.9
2021-07-23,58.7
2021-07-24,56.3
2021-07-25,54.0
2021-07-26,52.2
2021-07-27,50.9
2021-07-28,50.2
2021-07-29,49.8
2021-07-30,48.9
2021-07-31,48.8
2021-08-01,48.6
2021-08-02,48.9
2021-08-03,49.5
2021-08-04,49.9
2021-08-05,50.4
2021-08-06,51.2
2021-08-07,51.4
2021-08-08,52.5
2021-08-09,52.4
2021-08-10,52.1
2021-08-11,52.2
2021-08-12,52.8
2021-08-13,53.5
2021-08-14,55.1
2021-08-15,54.7
2021-08-16,55.0
2021-08-17,55.9
